"name","name_en","amenity","building","healthcare","healthca_1","operator_t","capacity_p","addr_full","addr_city","source","name_fr","osm_id","osm_type","geometry","lon","lat"
"CSPS de Dapoya (Sakoinsé)",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8381902768,"nodes",c(-1.9623497, 12.1866154),-1.9623497,12.1866154
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11927971347,"nodes",c(-1.8160459, 12.6312643),-1.8160459,12.6312643
"CSPS Barbayenli",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,9792692029,"nodes",c(1.0421744, 12.357657),1.0421744,12.357657
"Centre Médical",NA,"hospital",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,12360018254,"nodes",c(1.7968896, 12.0703409),1.7968896,12.0703409
"Dispensaire Croix-Rouge",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,5656850798,"nodes",c(-1.6339186, 14.0992121),-1.6339186,14.0992121
"Hôpital de Jour (HDJ)",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"Hôpital de Jour",7905884882,"nodes",c(-4.2983009, 11.1731499),-4.2983009,11.1731499
"CSPS de Soula",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8346952592,"nodes",c(-2.0843929, 12.0307806),-2.0843929,12.0307806
"CSPS de Bourou",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8337652886,"nodes",c(-2.0114422, 12.0572431),-2.0114422,12.0572431
"Roumtenga",NA,"clinic",NA,"clinic",NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810768596,"nodes",c(-2.3385181, 12.8975636),-2.3385181,12.8975636
"CSPS de Lado",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8319733447,"nodes",c(-1.7238678, 11.9660928),-1.7238678,11.9660928
"Pathiri",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3813988371,"nodes",c(-2.0806481, 12.9576208),-2.0806481,12.9576208
"Bingho",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3813283243,"nodes",c(-2.0658843, 12.7687614),-2.0658843,12.7687614
"Zongbèga",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3813283249,"nodes",c(-2.1056165, 12.861604),-2.1056165,12.861604
"Lanfièra",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3809137039,"nodes",c(-3.4144355, 12.987903),-3.4144355,12.987903
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,9794400324,"nodes",c(-2.0595235, 12.3087602),-2.0595235,12.3087602
"Niognogo",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3814827613,"nodes",c(-2.1014762, 12.9842053),-2.1014762,12.9842053
"Boulkon",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3813910096,"nodes",c(-1.9650102, 12.9329668),-1.9650102,12.9329668
"Namassa Yako",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3813910098,"nodes",c(-2.0797154, 12.9184346),-2.0797154,12.9184346
"Pharmacie Ninrwa",NA,"pharmacy",NA,NA,NA,NA,NA,NA,"Ouagadougou",NA,NA,7743600586,"nodes",c(-1.456637, 12.4052066),-1.456637,12.4052066
"Samba",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810066892,"nodes",c(-2.3803595, 12.668813),-2.3803595,12.668813
"Yalgatenga",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3819824146,"nodes",c(-1.9049967, 12.9508927),-1.9049967,12.9508927
"Dourou",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3814817185,"nodes",c(-2.054298, 12.99387),-2.054298,12.99387
"CSPS de Nakomtenga",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8303015083,"nodes",c(-1.9296724, 12.1306217),-1.9296724,12.1306217
"Diouroum_csps",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3811040623,"nodes",c(-3.1150013, 12.9860248),-3.1150013,12.9860248
"Bouria",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810744359,"nodes",c(-2.1805676, 12.8184961),-2.1805676,12.8184961
"Konan",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810744362,"nodes",c(-2.2422601, 12.7717124),-2.2422601,12.7717124
"Pilimpikou",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810744365,"nodes",c(-2.2701284, 12.7058084),-2.2701284,12.7058084
"Tindila",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810744368,"nodes",c(-2.2673838, 12.8111915),-2.2673838,12.8111915
"Lantaga",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810744364,"nodes",c(-2.185092, 12.7483815),-2.185092,12.7483815
"Bouboulou",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3809362925,"nodes",c(-2.2037395, 12.8603989),-2.2037395,12.8603989
"Koltanghin",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3809362930,"nodes",c(-2.3147691, 12.8429222),-2.3147691,12.8429222
"Pharmacie wend denda",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,344115018,"nodes",c(-1.5439292, 12.3768378),-1.5439292,12.3768378
"CSPS de Koukoulou",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8293387566,"nodes",c(-1.856145, 12.1051237),-1.856145,12.1051237
"Moutoulou",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3807681865,"nodes",c(-2.3628331, 12.923582),-2.3628331,12.923582
"CSPS de Sancé",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8291324173,"nodes",c(-1.8560994, 12.0761663),-1.8560994,12.0761663
"Guipa",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3805766860,"nodes",c(-1.7213465, 12.9926855),-1.7213465,12.9926855
"Kassan",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810900470,"nodes",c(-3.0284607, 12.9951307),-3.0284607,12.9951307
NA,NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,3807636667,"nodes",c(-3.3017783, 13.0767111),-3.3017783,13.0767111
"Koullou",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3805863523,"nodes",c(-1.5973734, 12.9914539),-1.5973734,12.9914539
"Yaké",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3805863525,"nodes",c(-1.7117476, 12.9516562),-1.7117476,12.9516562
"CSPS de Kayao",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8283676587,"nodes",c(-1.8375894, 12.0097711),-1.8375894,12.0097711
"Centre Médical de Sollé",NA,"hospital",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,8432764268,"nodes",c(-2.1231991, 14.1169478),-2.1231991,14.1169478
"Dépôt CAMEG",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,6036682411,"nodes",c(-3.4457253, 12.4761468),-3.4457253,12.4761468
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12965266243,"nodes",c(-1.6524446, 12.1885712),-1.6524446,12.1885712
"CSPS Saint Jean Paul ll",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,"CSPS Jean Paul ll",8243164319,"nodes",c(-1.5979495, 12.4145248),-1.5979495,12.4145248
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12851427548,"nodes",c(-1.0712394, 12.8176337),-1.0712394,12.8176337
"CSPS de Tayalo",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8230420000,"nodes",c(-1.8827525, 11.8523152),-1.8827525,11.8523152
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11907524410,"nodes",c(-1.7247476, 12.6260218),-1.7247476,12.6260218
"CSPS de Yéozanga",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8210170948,"nodes",c(-1.9944182, 12.0039232),-1.9944182,12.0039232
"CSPS de Yalou-Gouroungo",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8189080893,"nodes",c(-1.9170727, 11.9552544),-1.9170727,11.9552544
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11907150734,"nodes",c(-1.7429182, 12.673797),-1.7429182,12.673797
"CSPS de Toroba","TOROBA","clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,6034135995,"nodes",c(-3.6744614, 12.3519826),-3.6744614,12.3519826
"Pharmacie I-Anma",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,5969980385,"nodes",c(0.3628633, 12.0615196),0.3628633,12.0615196
"Pharmacie de la jeunesse",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,344095009,"nodes",c(-1.5580827, 12.3706171),-1.5580827,12.3706171
"Pharmacie du Sacré-Coeur",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,"survey;bing",NA,3508285444,"nodes",c(-1.5462563, 12.3512132),-1.5462563,12.3512132
"Pharmacie de l´hippodrome",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,344094584,"nodes",c(-1.5573961, 12.375924),-1.5573961,12.375924
"Hauts Bassins",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,8167005918,"nodes",c(-4.2861745, 11.2255907),-4.2861745,11.2255907
"Service Biomedical Plus",NA,"doctors",NA,"doctor",NA,"public",NA,NA,NA,"survey",NA,3282351155,"nodes",c(-1.5379444, 12.3383253),-1.5379444,12.3383253
"Pharmacie de l´amitié",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,338661299,"nodes",c(-1.5351653, 12.3346448),-1.5351653,12.3346448
"EX Pharmacie du Goulmou",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,338674483,"nodes",c(-1.5527006, 12.3420654),-1.5527006,12.3420654
"Dispensaire Ridwane",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,"survey",NA,3349823487,"nodes",c(-1.5456867, 12.3426727),-1.5456867,12.3426727
"La Bergerie-foi-univers-compassion",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,"survey;bing",NA,3350209797,"nodes",c(-1.5447186, 12.3302725),-1.5447186,12.3302725
"Clinique Pédiatrique Médica",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,"survey;bing",NA,3507262621,"nodes",c(-1.5398678, 12.3529145),-1.5398678,12.3529145
"Cabinet de soins infirmiers, ophtalmologie",NA,"doctors",NA,"doctor",NA,NA,NA,NA,NA,"bing; survey",NA,3576608053,"nodes",c(-1.5478832, 12.3474417),-1.5478832,12.3474417
"Clinique Saint Jean",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,"bing;survey",NA,3784404058,"nodes",c(-1.5344882, 12.3606171),-1.5344882,12.3606171
"Saint Antoine de Padou",NA,"doctors",NA,"doctor",NA,NA,NA,NA,NA,NA,NA,3984037231,"nodes",c(-1.5341652, 12.3611197),-1.5341652,12.3611197
"Saint Antoine de Padou",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,3984037255,"nodes",c(-1.5341603, 12.3610814),-1.5341603,12.3610814
"CSPS HAMDALAYE",NA,"doctors",NA,"doctor",NA,NA,NA,NA,NA,NA,NA,6037845928,"nodes",c(-4.2971906, 11.1830028),-4.2971906,11.1830028
"Pharmacie du Boulevard",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,6037847072,"nodes",c(-4.2851032, 11.1836448),-4.2851032,11.1836448
"CSPS de Hamdalaye",NA,"hospital",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,7896293185,"nodes",c(-4.2967767, 11.1833172),-4.2967767,11.1833172
"CSPS de Tounouma",NA,"hospital",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,7899805587,"nodes",c(-4.2858871, 11.1816619),-4.2858871,11.1816619
NA,NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,"survey",NA,3743815149,"nodes",c(-4.2968252, 11.1730545),-4.2968252,11.1730545
"PHARMACIE SOULIGNÉ",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,"PHARMACIE SOULIGNÉ",4465437794,"nodes",c(-4.2998873, 11.1738429),-4.2998873,11.1738429
"La Maternité",NA,"doctors",NA,"doctor",NA,NA,NA,NA,NA,NA,NA,769143457,"nodes",c(-3.2479584, 10.9763543),-3.2479584,10.9763543
"CSPS ACCART-VILLE",NA,"doctors",NA,"doctor",NA,"public",NA,NA,NA,"survey",NA,3459759166,"nodes",c(-4.3109165, 11.1885806),-4.3109165,11.1885806
"Pharmacie Maré",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,342064106,"nodes",c(-1.5498232, 12.3631848),-1.5498232,12.3631848
"Pharmacie du rivage",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,340026144,"nodes",c(-1.5525645, 12.3539218),-1.5525645,12.3539218
"CLINIQUE AURIANA",NA,"hospital",NA,"hospital","general;gynaecology;paediatrics;biology;radiology;urology;cardiology;neurology;clinic","private",NA,NA,"BOBO DIOULASSO",NA,NA,8121006651,"nodes",c(-4.2325082, 11.2012019),-4.2325082,11.2012019
"Centre de santé et de promotion sociale",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,"Note 1370623",NA,5827432675,"nodes",c(-5.311425, 11.0804212),-5.311425,11.0804212
"CSPS",NA,"hospital",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,8933534800,"nodes",c(-3.556353, 11.4292418),-3.556353,11.4292418
"Médecine",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,7409952413,"nodes",c(-4.7427753, 10.642123),-4.7427753,10.642123
"Hôpital du jour",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,7409952700,"nodes",c(-4.7423153, 10.6420229),-4.7423153,10.6420229
"Service Bio-Médical PLUS",NA,NA,NA,"laboratory",NA,NA,NA,NA,NA,NA,NA,8146671111,"nodes",c(-1.5633889, 12.3297039),-1.5633889,12.3297039
"CLINIQUE AURIANA",NA,NA,NA,"doctor","general;ophthalmology;dentist;biology;paediatrics;surgery;radiology;cardiology;urology",NA,NA,NA,"BOBO DIOULASSO",NA,NA,8121023620,"nodes",c(-4.2222, 11.1947418),-4.2222,11.1947418
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11899169991,"nodes",c(-1.6719952, 12.6678462),-1.6719952,12.6678462
"Centre Abel Sanou",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,7367339359,"nodes",c(-4.2907941, 11.1961167),-4.2907941,11.1961167
"Centre médical",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11205908628,"nodes",c(1.695246, 11.8557211),1.695246,11.8557211
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11188270552,"nodes",c(1.6623929, 11.8036245),1.6623929,11.8036245
"Pharmacie Heresso",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,4236296792,"nodes",c(-4.267618, 11.1713986),-4.267618,11.1713986
"Pharmacie Medine",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,"survey",NA,3743437352,"nodes",c(-4.298749, 11.1791624),-4.298749,11.1791624
"CSPS de Lorgho",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,5879157586,"nodes",c(-0.0071266, 11.9451203),-0.0071266,11.9451203
"CSPS Saatenga",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,6945869403,"nodes",c(-0.0009388, 11.8918294),-0.0009388,11.8918294
"CSPS de Koukin",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8706626557,"nodes",c(-2.1306315, 11.9797342),-2.1306315,11.9797342
"CSPS de Toécé",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,5667716244,"nodes",c(-1.2657106, 11.8276034),-1.2657106,11.8276034
"CSPS de Binyéné",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8180640627,"nodes",c(-1.9471416, 11.9094901),-1.9471416,11.9094901
"CSPS de Dougoumato 2",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,5878683934,"nodes",c(-3.8091257, 11.2111468),-3.8091257,11.2111468
"CSPS de Ninigui",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8457082145,"nodes",c(-2.3628397, 13.8851958),-2.3628397,13.8851958
"CSPS de Nongodoum",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8406619383,"nodes",c(-2.5202116, 14.1495594),-2.5202116,14.1495594
"CSPS de Tim-Tim",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8142791954,"nodes",c(-2.0442778, 12.0052717),-2.0442778,12.0052717
"Centre Médical de Thyou",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8827252442,"nodes",c(-2.1973166, 11.9486877),-2.1973166,11.9486877
"CSPS de Sinikieré",NA,"doctors",NA,"doctor",NA,NA,NA,NA,NA,NA,"CSPS de Sinikieré",5667754721,"nodes",c(-0.9558778, 11.789795),-0.9558778,11.789795
"CMA de Dafra",NA,"hospital",NA,"hospital","general;gynaecology;surgery;emergency;paediatrics;neonatology","public",NA,NA,"Bobo-Dioulasso",NA,NA,10233650537,"nodes",c(-4.2549422, 11.1969817),-4.2549422,11.1969817
"CMA de Dafra - Médecins Sans Frontières",NA,"hospital",NA,"hospital","general;gynaecology;surgery;emergency;paediatrics;neonatology","public",NA,NA,"Bobo-Dioulasso",NA,NA,11896417197,"nodes",c(-4.2549201, 11.1969569),-4.2549201,11.1969569
NA,NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,11894495366,"nodes",c(-1.6327424, 12.6225132),-1.6327424,12.6225132
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11892069517,"nodes",c(-1.6722983, 12.5931615),-1.6722983,12.5931615
"Centre médical",NA,NA,NA,"centre",NA,NA,NA,NA,NA,NA,NA,7017986476,"nodes",c(-0.0072951, 11.1222796),-0.0072951,11.1222796
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11888625419,"nodes",c(-1.6328658, 12.6224491),-1.6328658,12.6224491
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11888617791,"nodes",c(-1.6027004, 12.6022487),-1.6027004,12.6022487
"Centre Médical",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11883254174,"nodes",c(-1.5381382, 12.6661923),-1.5381382,12.6661923
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11355728581,"nodes",c(1.7217529, 11.6780264),1.7217529,11.6780264
"CSPS de Pig-Poré",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8755584108,"nodes",c(-2.7406731, 11.6819297),-2.7406731,11.6819297
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11878387637,"nodes",c(-1.7687921, 12.5974493),-1.7687921,12.5974493
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11878388234,"nodes",c(-1.7946875, 12.6726979),-1.7946875,12.6726979
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,13011538067,"nodes",c(-1.708657, 12.3197034),-1.708657,12.3197034
NA,NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,11869421315,"nodes",c(-1.5879663, 12.6156177),-1.5879663,12.6156177
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11869421328,"nodes",c(-1.5881574, 12.6157682),-1.5881574,12.6157682
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8968621277,"nodes",c(1.7282613, 11.9734357),1.7282613,11.9734357
"District Sanitaire de ORODARA",NA,"doctors",NA,"doctor",NA,NA,NA,NA,NA,NA,NA,7924275766,"nodes",c(-4.9160416, 10.9803772),-4.9160416,10.9803772
"Pharmacie Tanko",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,4804846422,"nodes",c(-1.086778, 13.086559),-1.086778,13.086559
"Centre de Santé et de Promotion Sociale",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,"Centre de Santé et de Promotion Sociale",4941280726,"nodes",c(-2.3916332, 12.2073804),-2.3916332,12.2073804
NA,NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,11866208945,"nodes",c(-1.5548833, 12.6073608),-1.5548833,12.6073608
NA,NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,11866208946,"nodes",c(-1.5586632, 12.5949219),-1.5586632,12.5949219
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8937021639,"nodes",c(1.5637064, 11.9700195),1.5637064,11.9700195
"CSPS de Kwon",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,7911224201,"nodes",c(-2.7470568, 12.5437899),-2.7470568,12.5437899
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11859004852,"nodes",c(-1.563811, 12.6787245),-1.563811,12.6787245
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11848053368,"nodes",c(-1.5589133, 12.5949259),-1.5589133,12.5949259
"CSPS",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,984059182,"nodes",c(-3.5553817, 12.3084398),-3.5553817,12.3084398
"CSPS de Koanguen-Sangro",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,7136092452,"nodes",c(-0.8144152, 12.9900921),-0.8144152,12.9900921
"Pharmacie la concorde",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,9718630620,"nodes",c(-1.5183549, 12.3657673),-1.5183549,12.3657673
"CMS le Secours",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8853935165,"nodes",c(0.013753, 11.0996278),0.013753,11.0996278
"CSPS de Sogpelcé",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8832499146,"nodes",c(-2.1886584, 12.03162),-2.1886584,12.03162
"Hôpita de district de Djibo",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,5656850795,"nodes",c(-1.6296016, 14.1005609),-1.6296016,14.1005609
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11821856845,"nodes",c(1.4958358, 11.9329545),1.4958358,11.9329545
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12884348808,"nodes",c(-2.4669832, 11.0330587),-2.4669832,11.0330587
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12886469663,"nodes",c(-2.3767175, 11.0645973),-2.3767175,11.0645973
"Secteur 5",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3814780663,"nodes",c(-2.2486108, 12.9725219),-2.2486108,12.9725219
"Secteur 4",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3819824144,"nodes",c(-2.259596, 12.9530727),-2.259596,12.9530727
"Secteur 6",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3819824145,"nodes",c(-2.2398768, 12.9594689),-2.2398768,12.9594689
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12880619472,"nodes",c(-1.2656406, 12.9465527),-1.2656406,12.9465527
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,13037466311,"nodes",c(-1.9791296, 12.5057894),-1.9791296,12.5057894
"csps",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,"csps",5752961322,"nodes",c(-1.5510004, 11.986036),-1.5510004,11.986036
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12866473452,"nodes",c(-1.2800708, 12.850763),-1.2800708,12.850763
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12866474041,"nodes",c(-1.2705034, 12.8328102),-1.2705034,12.8328102
"Centre Médical",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12862726701,"nodes",c(-1.0692894, 12.8264918),-1.0692894,12.8264918
